"filename", "language", "Markdown", "C", "C++", "comment", "blank", "total"
"e:\code\haihe\.history\source\required\main_20230504114658.c", "C", 0, 1, 0, 15, 2, 18
"e:\code\haihe\.history\source\required\main_20230504114701.c", "C", 0, 1, 0, 15, 2, 18
"e:\code\haihe\.history\source\required\main_20230504114725.c", "C", 0, 5, 0, 15, 2, 22
"e:\code\haihe\.history\source\required\main_20230504114754.c", "C", 0, 5, 0, 20, 2, 27
"e:\code\haihe\.history\source\required\main_20230504114811.c", "C", 0, 5, 0, 20, 3, 28
"e:\code\haihe\.history\source\required\main_20230504114848.c", "C", 0, 5, 0, 35, 3, 43
"e:\code\haihe\.history\source\required\main_20230504114934.c", "C", 0, 5, 0, 20, 3, 28
"e:\code\haihe\.history\source\required\main_20230504115655.c", "C", 0, 5, 0, 20, 3, 28
"e:\code\haihe\.history\source\required\standard\std_20230504114510.c", "C", 0, 2, 0, 15, 2, 19
"e:\code\haihe\.history\source\required\standard\std_20230504114512.c", "C", 0, 2, 0, 15, 2, 19
"e:\code\haihe\.history\source\required\system\sys_20230504114617.c", "C", 0, 2, 0, 15, 2, 19
"e:\code\haihe\.history\source\required\system\sys_20230504114620.c", "C", 0, 2, 0, 15, 2, 19
"e:\code\haihe\README.md", "Markdown", 1, 0, 0, 0, 0, 1
"e:\code\haihe\source\required\main.c", "C", 0, 5, 0, 20, 3, 28
"e:\code\haihe\source\required\standard\std.c", "C", 0, 2, 0, 15, 2, 19
"e:\code\haihe\source\required\standard\std_private.h", "C++", 0, 0, 3, 49, 99, 151
"e:\code\haihe\source\required\standard\std_public.h", "C", 0, 4, 0, 49, 98, 151
"e:\code\haihe\source\required\standard\type\std_type.c", "C", 0, 2, 0, 15, 2, 19
"e:\code\haihe\source\required\standard\type\std_type_private.h", "C++", 0, 0, 3, 49, 99, 151
"e:\code\haihe\source\required\standard\type\std_type_public.h", "C", 0, 18, 0, 49, 96, 163
"e:\code\haihe\source\required\system\sys.c", "C", 0, 2, 0, 15, 2, 19
"e:\code\haihe\source\required\system\sys_private.h", "C", 0, 3, 0, 49, 99, 151
"e:\code\haihe\source\required\system\sys_public.h", "C", 0, 4, 0, 49, 98, 151
"Total", "-", 1, 80, 6, 579, 626, 1292
