"filename", "language", "C", "C++", "comment", "blank", "total"
"e:\code\haihe\.history\source\required\main_20230504114658.c", "C", -1, 0, -15, -2, -18
"e:\code\haihe\.history\source\required\main_20230504114701.c", "C", -1, 0, -15, -2, -18
"e:\code\haihe\.history\source\required\main_20230504114725.c", "C", -5, 0, -15, -2, -22
"e:\code\haihe\.history\source\required\main_20230504114754.c", "C", -5, 0, -20, -2, -27
"e:\code\haihe\.history\source\required\main_20230504114811.c", "C", -5, 0, -20, -3, -28
"e:\code\haihe\.history\source\required\main_20230504114848.c", "C", -5, 0, -35, -3, -43
"e:\code\haihe\.history\source\required\main_20230504114934.c", "C", -5, 0, -20, -3, -28
"e:\code\haihe\.history\source\required\main_20230504115655.c", "C", -5, 0, -20, -3, -28
"e:\code\haihe\.history\source\required\standard\std_20230504114510.c", "C", -2, 0, -15, -2, -19
"e:\code\haihe\.history\source\required\standard\std_20230504114512.c", "C", -2, 0, -15, -2, -19
"e:\code\haihe\.history\source\required\system\sys_20230504114617.c", "C", -2, 0, -15, -2, -19
"e:\code\haihe\.history\source\required\system\sys_20230504114620.c", "C", -2, 0, -15, -2, -19
"e:\code\haihe\source\required\main.c", "C", 0, 0, 4, 0, 4
"e:\code\haihe\source\required\standard\crypto\std_crypto.c", "C", 2, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\crypto\std_crypto_private.h", "C", 3, 0, 48, 84, 135
"e:\code\haihe\source\required\standard\crypto\std_crypto_public.h", "C", 3, 0, 47, 81, 131
"e:\code\haihe\source\required\standard\delay\std_delay.c", "C", 2, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\delay\std_delay_private.h", "C++", 0, 3, 48, 84, 135
"e:\code\haihe\source\required\standard\delay\std_delay_public.h", "C", 3, 0, 47, 81, 131
"e:\code\haihe\source\required\standard\library\std_lib.c", "C", 2, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\library\std_lib_private.h", "C++", 0, 3, 48, 84, 135
"e:\code\haihe\source\required\standard\library\std_lib_public.h", "C", 4, 0, 47, 80, 131
"e:\code\haihe\source\required\standard\state\std_state.c", "C", 2, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\state\std_state_private.h", "C++", 0, 3, 48, 84, 135
"e:\code\haihe\source\required\standard\state\std_state_public.h", "C", 8, 0, 47, 80, 135
"e:\code\haihe\source\required\standard\std.c", "C", 0, 0, 4, 0, 4
"e:\code\haihe\source\required\standard\std_private.h", "C", 0, 0, -1, -15, -16
"e:\code\haihe\source\required\standard\std_public.h", "C", 4, 0, -2, -18, -16
"e:\code\haihe\source\required\standard\swap\bit\std_swap_bit.c", "C", 29, 0, 51, 14, 94
"e:\code\haihe\source\required\standard\swap\bit\std_swap_bit_private.h", "C", 6, 0, 48, 83, 137
"e:\code\haihe\source\required\standard\swap\bit\std_swap_bit_public.h", "C++", 0, 10, 79, 81, 170
"e:\code\haihe\source\required\standard\swap\endian\std_swap_endian.c", "C", 112, 0, 67, 36, 215
"e:\code\haihe\source\required\standard\swap\endian\std_swap_endian_private.h", "C", 45, 0, 48, 84, 177
"e:\code\haihe\source\required\standard\swap\endian\std_swap_endian_public.h", "C", 9, 0, 89, 85, 183
"e:\code\haihe\source\required\standard\swap\std_swap.c", "C", 2, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\swap\std_swap_private.h", "C++", 0, 3, 48, 84, 135
"e:\code\haihe\source\required\standard\swap\std_swap_public.h", "C", 6, 0, 47, 80, 133
"e:\code\haihe\source\required\standard\swap\type\std_swap_type.c", "C", 399, 0, 139, 134, 672
"e:\code\haihe\source\required\standard\swap\type\std_swap_type_private.h", "C++", 0, 6, 48, 83, 137
"e:\code\haihe\source\required\standard\swap\type\std_swap_type_public.h", "C", 27, 0, 167, 91, 285
"e:\code\haihe\source\required\standard\type\std_type.c", "C", 0, 0, 4, 0, 4
"e:\code\haihe\source\required\standard\type\std_type_private.h", "C++", 0, 0, -1, -15, -16
"e:\code\haihe\source\required\standard\type\std_type_public.h", "C", 0, 0, -2, -18, -20
"e:\code\haihe\source\required\system\sys.c", "C", 0, 0, 4, 0, 4
"e:\code\haihe\source\required\system\sys_private.h", "C", 0, 0, -1, -15, -16
"e:\code\haihe\source\required\system\sys_public.h", "C", 0, 0, -2, -18, -20
"Total", "-", 628, 28, 1093, 1396, 3145
