"filename", "language", "C", "C++", "Markdown", "comment", "blank", "total"
"e:\code\haihe\README.md", "Markdown", 0, 0, 1, 0, 0, 1
"e:\code\haihe\source\required\main.c", "C", 5, 0, 0, 24, 3, 32
"e:\code\haihe\source\required\standard\crypto\std_crypto.c", "C", 2, 0, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\crypto\std_crypto_private.h", "C", 3, 0, 0, 48, 84, 135
"e:\code\haihe\source\required\standard\crypto\std_crypto_public.h", "C", 3, 0, 0, 47, 81, 131
"e:\code\haihe\source\required\standard\delay\hardware\std_delay_hw.c", "C", 129, 0, 0, 123, 38, 290
"e:\code\haihe\source\required\standard\delay\hardware\std_delay_hw_private.h", "C++", 0, 11, 0, 48, 82, 141
"e:\code\haihe\source\required\standard\delay\hardware\std_delay_hw_public.h", "C++", 0, 28, 0, 151, 104, 283
"e:\code\haihe\source\required\standard\delay\software\std_delay_sw.c", "C", 2, 0, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\delay\software\std_delay_sw_private.h", "C++", 0, 4, 0, 48, 83, 135
"e:\code\haihe\source\required\standard\delay\software\std_delay_sw_public.h", "C++", 0, 3, 0, 47, 81, 131
"e:\code\haihe\source\required\standard\delay\std_delay.c", "C", 2, 0, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\delay\std_delay_private.h", "C", 3, 0, 0, 48, 84, 135
"e:\code\haihe\source\required\standard\delay\std_delay_public.h", "C", 5, 0, 0, 47, 79, 131
"e:\code\haihe\source\required\standard\library\std_lib.c", "C", 2, 0, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\library\std_lib_private.h", "C++", 0, 4, 0, 48, 83, 135
"e:\code\haihe\source\required\standard\library\std_lib_public.h", "C", 4, 0, 0, 47, 80, 131
"e:\code\haihe\source\required\standard\state\std_state.c", "C", 2, 0, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\state\std_state_private.h", "C++", 0, 3, 0, 48, 84, 135
"e:\code\haihe\source\required\standard\state\std_state_public.h", "C", 8, 0, 0, 47, 80, 135
"e:\code\haihe\source\required\standard\std.c", "C", 2, 0, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\std_private.h", "C", 3, 0, 0, 48, 84, 135
"e:\code\haihe\source\required\standard\std_public.h", "C", 9, 0, 0, 47, 80, 136
"e:\code\haihe\source\required\standard\swap\bit\std_swap_bit.c", "C", 29, 0, 0, 51, 14, 94
"e:\code\haihe\source\required\standard\swap\bit\std_swap_bit_private.h", "C", 6, 0, 0, 48, 83, 137
"e:\code\haihe\source\required\standard\swap\bit\std_swap_bit_public.h", "C", 10, 0, 0, 79, 81, 170
"e:\code\haihe\source\required\standard\swap\endian\std_swap_endian.c", "C", 112, 0, 0, 67, 36, 215
"e:\code\haihe\source\required\standard\swap\endian\std_swap_endian_private.h", "C", 45, 0, 0, 48, 84, 177
"e:\code\haihe\source\required\standard\swap\endian\std_swap_endian_public.h", "C", 9, 0, 0, 89, 85, 183
"e:\code\haihe\source\required\standard\swap\std_swap.c", "C", 2, 0, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\swap\std_swap_private.h", "C++", 0, 3, 0, 48, 84, 135
"e:\code\haihe\source\required\standard\swap\std_swap_public.h", "C", 6, 0, 0, 47, 80, 133
"e:\code\haihe\source\required\standard\swap\type\std_swap_type.c", "C", 399, 0, 0, 139, 134, 672
"e:\code\haihe\source\required\standard\swap\type\std_swap_type_private.h", "C++", 0, 6, 0, 48, 83, 137
"e:\code\haihe\source\required\standard\swap\type\std_swap_type_public.h", "C", 27, 0, 0, 167, 91, 285
"e:\code\haihe\source\required\standard\type\std_type.c", "C", 2, 0, 0, 19, 2, 23
"e:\code\haihe\source\required\standard\type\std_type_private.h", "C++", 0, 3, 0, 48, 84, 135
"e:\code\haihe\source\required\standard\type\std_type_public.h", "C", 21, 0, 0, 47, 75, 143
"e:\code\haihe\source\required\system\sys.c", "C", 2, 0, 0, 19, 2, 23
"e:\code\haihe\source\required\system\sys_private.h", "C", 3, 0, 0, 48, 84, 135
"e:\code\haihe\source\required\system\sys_public.h", "C", 4, 0, 0, 47, 80, 131
"Total", "-", 861, 65, 1, 2108, 2406, 5441
