"filename", "language", "C++", "C", "comment", "blank", "total"
"e:\code\haihe\source\required\standard\delay\hardware\std_delay_hw.c", "C", 0, -129, -123, -38, -290
"e:\code\haihe\source\required\standard\delay\hardware\std_delay_hw_private.h", "C++", -11, 0, -48, -82, -141
"e:\code\haihe\source\required\standard\delay\hardware\std_delay_hw_public.h", "C", 0, -28, -151, -104, -283
"e:\code\haihe\source\required\standard\delay\hardware\std_hw_delay.c", "C", 0, 129, 123, 38, 290
"e:\code\haihe\source\required\standard\delay\hardware\std_hw_delay_private.h", "C++", 11, 0, 48, 82, 141
"e:\code\haihe\source\required\standard\delay\hardware\std_hw_delay_public.h", "C++", 28, 0, 151, 104, 283
"e:\code\haihe\source\required\standard\delay\software\std_delay_sw.c", "C", 0, -2, -19, -2, -23
"e:\code\haihe\source\required\standard\delay\software\std_delay_sw_private.h", "C++", -4, 0, -48, -83, -135
"e:\code\haihe\source\required\standard\delay\software\std_delay_sw_public.h", "C++", -3, 0, -47, -81, -131
"e:\code\haihe\source\required\standard\delay\software\std_sw_delay.c", "C", 0, 2, 19, 2, 23
"e:\code\haihe\source\required\standard\delay\software\std_sw_delay_private.h", "C++", 3, 0, 48, 84, 135
"e:\code\haihe\source\required\standard\delay\software\std_sw_delay_public.h", "C++", 3, 0, 47, 81, 131
"Total", "-", 27, -28, 0, 1, 0
